T_Rank,O_Rank,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,points
4,4,90.0,7.0,0.0,7.0,100.0,1.0,2.5,0.0,0.0,0.0,0.0,3.0,16.0,18.8,23.0,6.0,60.9,45.1,2.0,100.0,73.5,14.0,2.0,14.3,8.0
4,3,90.0,1.0,0.0,1.0,100.0,1.0,0.3,0.0,0.0,0.0,0.0,3.0,7.0,42.9,19.0,6.0,31.6,28.5,5.0,20.0,33.0,12.0,0.0,0.0,6.0
4,3,90.0,5.0,2.0,3.0,60.0,0.0,2.2,0.0,0.0,0.0,0.0,4.0,25.0,16.0,31.0,3.0,61.3,46.7,6.0,100.0,67.0,17.0,2.0,11.8,2.0
4,3,90.0,4.0,1.0,3.0,100.0,0.0,1.3,1.0,1.0,0.0,0.0,2.0,6.0,33.3,20.0,4.0,25.0,27.5,2.0,50.0,47.5,10.0,0.0,0.0,3.0
4,3,90.0,2.0,0.0,2.0,100.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,6.0,0.0,22.0,7.0,13.6,24.7,5.0,60.0,52.4,11.0,1.0,9.1,6.0
4,4,90.0,1.0,0.0,1.0,100.0,1.0,0.1,0.0,0.0,0.0,0.0,2.0,9.0,22.2,28.0,4.0,28.6,32.3,2.0,50.0,42.5,10.0,0.0,0.0,6.0
4,2,90.0,2.0,0.0,2.0,100.0,1.0,0.1,0.0,0.0,0.0,0.0,1.0,2.0,50.0,18.0,7.0,5.6,19.2,4.0,25.0,32.5,11.0,1.0,9.1,6.0
4,1,90.0,3.0,1.0,2.0,66.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,9.0,0.0,27.0,5.0,33.3,35.6,2.0,0.0,17.5,14.0,0.0,0.0,2.0
4,2,90.0,4.0,0.0,4.0,100.0,1.0,1.3,1.0,0.0,0.0,1.0,3.0,17.0,17.6,36.0,5.0,33.3,36.0,8.0,62.5,50.4,14.0,1.0,7.1,5.0
4,4,90.0,3.0,2.0,1.0,33.3,0.0,0.9,0.0,0.0,0.0,0.0,5.0,18.0,27.8,22.0,5.0,63.6,47.1,4.0,100.0,68.0,9.0,0.0,0.0,1.0
4,4,90.0,3.0,1.0,2.0,100.0,0.0,1.1,1.0,1.0,0.0,0.0,5.0,9.0,55.6,18.0,4.0,38.9,35.5,2.0,100.0,76.5,5.0,0.0,0.0,2.0
4,1,90.0,2.0,0.0,2.0,100.0,1.0,0.4,0.0,0.0,0.0,0.0,2.0,15.0,13.3,20.0,4.0,45.0,36.9,6.0,100.0,72.2,14.0,1.0,7.1,6.0
4,4,90.0,6.0,3.0,3.0,50.0,0.0,3.1,0.0,0.0,0.0,0.0,7.0,18.0,38.9,38.0,7.0,42.1,35.6,3.0,66.7,55.3,6.0,0.0,0.0,2.0
4,3,90.0,3.0,1.0,2.0,66.7,0.0,0.2,0.0,0.0,0.0,0.0,3.0,13.0,23.1,22.0,9.0,40.9,37.6,5.0,80.0,61.8,9.0,0.0,0.0,2.0
4,1,90.0,3.0,1.0,2.0,66.7,0.0,1.1,0.0,0.0,0.0,0.0,3.0,10.0,30.0,22.0,5.0,31.8,30.8,8.0,37.5,34.6,10.0,2.0,20.0,2.0
4,1,90.0,1.0,0.0,1.0,100.0,1.0,0.1,0.0,0.0,0.0,0.0,5.0,13.0,38.5,23.0,2.0,39.1,33.6,4.0,100.0,72.3,12.0,0.0,0.0,6.0
4,3,90.0,2.0,2.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,5.0,13.0,38.5,23.0,3.0,43.5,37.3,3.0,100.0,72.3,6.0,0.0,0.0,1.0
4,2,90.0,2.0,0.0,2.0,100.0,1.0,0.3,0.0,0.0,0.0,0.0,8.0,15.0,53.3,30.0,4.0,46.7,36.5,2.0,50.0,43.5,16.0,2.0,12.5,6.0
4,4,90.0,6.0,4.0,2.0,33.3,0.0,2.5,0.0,0.0,0.0,0.0,6.0,13.0,46.2,27.0,6.0,44.4,34.7,8.0,12.5,18.5,14.0,0.0,0.0,0.0
4,4,90.0,5.0,2.0,4.0,60.0,0.0,1.7,0.0,0.0,0.0,0.0,3.0,10.0,30.0,25.0,2.0,36.0,34.5,4.0,25.0,25.8,10.0,1.0,10.0,2.0
4,2,90.0,4.0,0.0,4.0,100.0,1.0,0.9,0.0,0.0,0.0,0.0,1.0,4.0,25.0,23.0,8.0,13.0,28.7,11.0,9.1,17.4,18.0,1.0,5.6,7.0
4,3,90.0,4.0,2.0,2.0,50.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,100.0,10.0,3.0,0.0,23.1,4.0,25.0,25.8,6.0,0.0,0.0,1.0
4,2,90.0,5.0,3.0,2.0,40.0,0.0,2.4,0.0,0.0,0.0,0.0,3.0,10.0,30.0,20.0,3.0,50.0,36.8,5.0,0.0,13.4,6.0,1.0,16.7,1.0
4,4,90.0,6.0,2.0,4.0,66.7,0.0,2.1,0.0,0.0,0.0,0.0,1.0,8.0,12.5,13.0,3.0,38.5,30.3,6.0,50.0,35.2,10.0,0.0,0.0,2.0
4,1,90.0,4.0,2.0,2.0,50.0,0.0,1.6,0.0,0.0,0.0,0.0,1.0,2.0,50.0,13.0,4.0,15.4,27.2,6.0,0.0,19.5,8.0,0.0,0.0,1.0
4,3,90.0,5.0,2.0,3.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,12.0,58.3,19.0,4.0,42.1,33.4,6.0,66.7,38.8,13.0,1.0,7.7,2.0
4,4,90.0,10.0,2.0,8.0,80.0,0.0,1.8,0.0,0.0,0.0,0.0,7.0,11.0,63.6,27.0,7.0,37.0,31.2,11.0,9.1,18.2,10.0,0.0,0.0,3.0
4,3,90.0,4.0,0.0,4.0,100.0,1.0,0.7,0.0,0.0,0.0,0.0,5.0,12.0,41.7,27.0,2.0,33.3,34.3,7.0,42.9,27.6,11.0,2.0,18.2,7.0
4,4,90.0,9.0,3.0,6.0,66.7,0.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,19.0,6.0,31.6,34.4,12.0,33.3,27.8,17.0,0.0,0.0,3.0
4,3,90.0,7.0,2.0,5.0,85.7,0.0,2.1,1.0,1.0,0.0,0.0,8.0,12.0,66.7,35.0,4.0,28.6,33.0,8.0,25.0,27.3,9.0,2.0,22.2,2.0
4,1,90.0,3.0,1.0,2.0,66.7,0.0,1.7,0.0,0.0,0.0,0.0,1.0,8.0,12.5,17.0,3.0,47.1,33.9,7.0,0.0,15.3,16.0,2.0,12.5,2.0
4,3,90.0,4.0,1.0,3.0,75.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,5.0,20.0,28.0,4.0,14.3,23.4,11.0,9.1,16.9,16.0,1.0,6.3,3.0
4,2,90.0,1.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,28.6,30.0,8.0,33.3,31.9,10.0,40.0,36.0,17.0,2.0,11.8,6.0
4,3,90.0,3.0,0.0,3.0,100.0,1.0,0.5,0.0,0.0,0.0,0.0,4.0,10.0,40.0,27.0,5.0,29.6,33.2,8.0,25.0,26.5,14.0,1.0,7.1,7.0
4,4,90.0,3.0,2.0,1.0,33.3,0.0,0.9,0.0,0.0,0.0,0.0,1.0,2.0,50.0,19.0,3.0,10.5,23.0,11.0,0.0,18.3,18.0,0.0,0.0,1.0
4,1,90.0,2.0,1.0,1.0,50.0,0.0,0.6,0.0,0.0,0.0,0.0,3.0,4.0,75.0,15.0,4.0,26.7,27.9,5.0,0.0,19.0,14.0,0.0,0.0,2.0
4,1,90.0,4.0,2.0,2.0,50.0,0.0,2.1,0.0,0.0,0.0,0.0,4.0,6.0,66.7,16.0,9.0,18.8,24.9,5.0,60.0,39.4,10.0,0.0,0.0,1.0
1,3,90.0,5.0,1.0,4.0,80.0,0.0,1.3,0.0,0.0,0.0,0.0,8.0,23.0,34.8,31.0,5.0,41.9,36.5,11.0,90.9,59.5,20.0,3.0,15.0,3.0
1,4,90.0,10.0,1.0,9.0,90.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,9.0,0.0,28.0,5.0,25.0,28.7,7.0,28.6,31.1,13.0,1.0,7.7,5.0
1,3,90.0,6.0,0.0,6.0,100.0,1.0,1.4,0.0,0.0,0.0,0.0,6.0,16.0,37.5,28.0,4.0,32.1,31.4,9.0,77.8,52.6,20.0,1.0,5.0,8.0
1,1,90.0,3.0,1.0,2.0,66.7,0.0,0.7,0.0,0.0,0.0,0.0,4.0,5.0,80.0,33.0,6.0,15.2,26.0,6.0,0.0,19.0,7.0,1.0,14.3,2.0
1,4,90.0,9.0,2.0,7.0,77.8,0.0,3.0,0.0,0.0,0.0,0.0,3.0,11.0,27.3,50.0,12.0,22.0,27.9,5.0,0.0,16.4,11.0,0.0,0.0,3.0
1,4,90.0,5.0,2.0,3.0,80.0,0.0,1.8,1.0,1.0,0.0,0.0,6.0,12.0,50.0,27.0,9.0,33.3,32.3,8.0,37.5,33.9,21.0,1.0,4.8,2.0
1,2,90.0,4.0,0.0,4.0,100.0,1.0,0.4,0.0,0.0,0.0,0.0,5.0,9.0,55.6,45.0,7.0,20.0,26.4,6.0,0.0,17.7,10.0,0.0,0.0,7.0
1,2,90.0,5.0,2.0,3.0,60.0,0.0,2.5,0.0,0.0,0.0,0.0,2.0,9.0,22.2,24.0,6.0,29.2,28.4,9.0,22.2,25.9,8.0,1.0,12.5,2.0
1,3,90.0,6.0,0.0,6.0,100.0,1.0,1.1,0.0,0.0,0.0,0.0,4.0,7.0,57.1,37.0,4.0,16.2,26.1,4.0,25.0,33.0,14.0,3.0,21.4,8.0
1,1,90.0,6.0,2.0,4.0,66.7,0.0,1.9,0.0,0.0,0.0,0.0,3.0,12.0,25.0,31.0,6.0,32.3,34.0,6.0,33.3,35.8,9.0,1.0,11.1,2.0
1,3,90.0,8.0,3.0,5.0,75.0,0.0,2.8,1.0,1.0,0.0,0.0,2.0,4.0,50.0,22.0,4.0,13.6,22.2,6.0,16.7,22.2,13.0,1.0,7.7,2.0
1,3,90.0,10.0,4.0,6.0,60.0,0.0,4.1,0.0,0.0,0.0,0.0,5.0,27.0,18.5,29.0,3.0,62.1,43.8,10.0,90.0,65.3,13.0,1.0,7.7,2.0
1,2,90.0,3.0,2.0,1.0,33.3,0.0,0.6,0.0,0.0,0.0,0.0,6.0,14.0,42.9,31.0,3.0,38.7,30.5,4.0,50.0,39.8,14.0,1.0,7.1,1.0
1,4,90.0,10.0,2.0,8.0,80.0,0.0,1.9,0.0,0.0,0.0,0.0,4.0,12.0,33.3,25.0,8.0,36.0,30.3,4.0,75.0,50.3,12.0,0.0,0.0,3.0
1,3,90.0,3.0,1.0,2.0,100.0,0.0,1.2,1.0,1.0,0.0,0.0,4.0,11.0,36.4,26.0,5.0,34.6,34.6,8.0,25.0,27.6,14.0,2.0,14.3,2.0
1,4,90.0,8.0,2.0,6.0,75.0,0.0,1.9,0.0,0.0,0.0,0.0,4.0,10.0,40.0,17.0,7.0,35.3,32.8,10.0,40.0,38.6,17.0,3.0,17.6,3.0
1,1,90.0,5.0,2.0,3.0,60.0,0.0,1.5,0.0,0.0,0.0,0.0,6.0,13.0,46.2,18.0,3.0,66.7,44.2,8.0,12.5,22.1,11.0,0.0,0.0,2.0
1,3,90.0,1.0,0.0,1.0,100.0,1.0,0.1,0.0,0.0,0.0,0.0,6.0,18.0,33.3,22.0,2.0,59.1,38.8,7.0,71.4,52.3,13.0,0.0,0.0,6.0
1,4,90.0,3.0,2.0,1.0,33.3,0.0,1.9,0.0,0.0,0.0,0.0,10.0,29.0,34.5,24.0,1.0,87.5,52.7,8.0,100.0,66.8,13.0,1.0,7.7,1.0
4,2,90.0,5.0,0.0,5.0,100.0,1.0,1.7,0.0,0.0,0.0,0.0,1.0,4.0,25.0,23.0,4.0,0.0,18.0,7.0,57.1,41.0,20.0,0.0,0.0,7.0
4,1,90.0,3.0,2.0,1.0,33.3,0.0,1.5,0.0,0.0,0.0,0.0,2.0,4.0,50.0,29.0,8.0,13.8,23.5,2.0,0.0,15.0,18.0,1.0,5.6,1.0
4,4,90.0,3.0,1.0,2.0,66.7,0.0,1.2,0.0,0.0,0.0,0.0,4.0,11.0,36.4,33.0,7.0,24.2,28.7,7.0,42.9,33.7,11.0,2.0,18.2,2.0
4,2,90.0,5.0,1.0,4.0,80.0,0.0,0.9,0.0,0.0,0.0,0.0,1.0,2.0,50.0,30.0,7.0,3.3,19.1,5.0,20.0,21.0,11.0,2.0,18.2,3.0
4,1,90.0,4.0,0.0,4.0,100.0,1.0,0.3,0.0,0.0,0.0,0.0,1.0,6.0,16.7,40.0,5.0,10.0,22.2,6.0,33.3,31.5,17.0,0.0,0.0,7.0
4,4,90.0,6.0,1.0,5.0,83.3,0.0,1.4,0.0,0.0,0.0,0.0,3.0,16.0,18.8,42.0,4.0,28.6,29.8,11.0,36.4,32.8,7.0,0.0,0.0,3.0
4,1,90.0,5.0,0.0,5.0,100.0,1.0,1.1,0.0,0.0,0.0,0.0,2.0,13.0,15.4,27.0,6.0,22.2,29.4,8.0,87.5,53.1,13.0,0.0,0.0,7.0
4,3,90.0,7.0,0.0,7.0,100.0,1.0,2.2,0.0,0.0,0.0,0.0,2.0,10.0,20.0,31.0,5.0,19.4,29.0,10.0,40.0,29.8,21.0,0.0,0.0,8.0
4,3,90.0,2.0,0.0,2.0,100.0,1.0,0.7,0.0,0.0,0.0,0.0,2.0,5.0,40.0,26.0,4.0,11.5,22.0,6.0,33.3,27.5,12.0,1.0,8.3,6.0
4,2,90.0,3.0,1.0,2.0,66.7,0.0,1.2,0.0,0.0,0.0,0.0,4.0,7.0,57.1,17.0,1.0,41.2,36.0,6.0,0.0,11.3,7.0,1.0,14.3,2.0
4,3,90.0,3.0,1.0,2.0,66.7,0.0,1.7,0.0,0.0,0.0,0.0,3.0,12.0,25.0,42.0,8.0,26.2,30.8,5.0,20.0,24.0,16.0,2.0,12.5,2.0
4,4,90.0,2.0,1.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,14.0,35.7,23.0,5.0,26.1,27.3,15.0,53.3,40.1,17.0,1.0,5.9,2.0
4,3,45.0,5.0,1.0,4.0,80.0,0.0,1.2,0.0,0.0,0.0,0.0,1.0,3.0,33.3,24.0,5.0,8.3,24.8,3.0,33.3,29.3,4.0,0.0,0.0,2.0
4,3,90.0,3.0,1.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,20.0,19.0,3.0,26.3,32.5,2.0,0.0,7.5,10.0,0.0,0.0,2.0
4,1,90.0,5.0,2.0,3.0,60.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,1.0,100.0,26.0,6.0,3.8,20.8,1.0,0.0,27.0,12.0,2.0,16.7,2.0
4,3,90.0,5.0,1.0,4.0,80.0,0.0,1.3,0.0,0.0,0.0,0.0,6.0,19.0,31.6,18.0,2.0,44.4,36.5,11.0,100.0,66.9,27.0,2.0,7.4,3.0
4,2,90.0,6.0,3.0,3.0,50.0,0.0,2.6,0.0,0.0,0.0,0.0,3.0,7.0,42.9,23.0,3.0,30.4,29.5,7.0,0.0,11.0,11.0,0.0,0.0,2.0
4,4,90.0,5.0,2.0,3.0,60.0,0.0,1.6,0.0,0.0,0.0,0.0,5.0,12.0,41.7,19.0,4.0,36.8,30.6,5.0,100.0,63.8,8.0,0.0,0.0,2.0
4,2,90.0,3.0,0.0,3.0,100.0,1.0,0.1,0.0,0.0,0.0,0.0,2.0,3.0,66.7,18.0,6.0,11.1,20.6,7.0,14.3,15.1,12.0,1.0,8.3,7.0
3,2,90.0,3.0,1.0,2.0,66.7,0.0,1.8,0.0,0.0,0.0,0.0,4.0,15.0,26.7,50.0,7.0,28.0,30.6,6.0,16.7,23.0,19.0,2.0,10.5,2.0
3,3,90.0,3.0,1.0,2.0,66.7,0.0,0.6,0.0,0.0,0.0,0.0,2.0,4.0,50.0,18.0,1.0,22.2,29.5,6.0,0.0,15.3,14.0,0.0,0.0,2.0
3,3,90.0,2.0,1.0,1.0,50.0,0.0,0.3,0.0,0.0,0.0,0.0,7.0,21.0,33.3,28.0,0.0,50.0,37.3,8.0,87.5,58.9,22.0,1.0,4.5,2.0
3,4,90.0,3.0,1.0,3.0,66.7,0.0,0.4,0.0,0.0,0.0,0.0,4.0,13.0,30.8,42.0,2.0,23.8,29.8,4.0,75.0,56.8,17.0,3.0,17.6,3.0
3,1,90.0,3.0,0.0,3.0,100.0,1.0,0.9,0.0,0.0,0.0,0.0,8.0,21.0,38.1,27.0,3.0,51.9,42.7,8.0,87.5,58.1,18.0,2.0,11.1,7.0
3,1,90.0,7.0,3.0,5.0,71.4,0.0,2.5,1.0,1.0,0.0,0.0,10.0,18.0,55.6,26.0,4.0,46.2,36.3,9.0,66.7,48.0,16.0,3.0,18.8,2.0
3,4,90.0,4.0,2.0,2.0,50.0,0.0,1.3,0.0,0.0,0.0,0.0,8.0,9.0,88.9,37.0,7.0,21.6,27.6,2.0,50.0,30.0,5.0,1.0,20.0,1.0
3,2,90.0,3.0,1.0,2.0,66.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,6.0,5.6,20.1,3.0,0.0,20.0,7.0,1.0,14.3,2.0
3,2,90.0,1.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,26.3,33.0,6.0,51.5,39.4,4.0,50.0,42.3,7.0,4.0,57.1,6.0
